pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
山东省,济南市,132,37,370100,济南市,36.6758,117.001,36.6758,117.001,199.0608,黄骅港,
山东省,淄博市,134,37,370300,淄博市,36.8149,118.048,36.8149,118.048,167.08401,黄骅港,
山东省,东营市,136,37,370500,东营市,37.4613,118.496,37.4613,118.496,107.74795,黄骅港,
山东省,德州市,145,37,371400,德州市,37.454,116.307,37.454,116.307,170.21983,黄骅港,
山东省,聊城市,146,37,371500,聊城市,36.456,115.98,36.456,115.98,267.94619,黄骅港,
山东省,滨州市,147,37,371600,滨州市,37.3835,118.017,37.3835,118.017,103.83824,黄骅港,
河南省,洛阳市,151,41,410300,洛阳市,34.663,112.434,34.663,112.434,635.86706,黄骅港,
河南省,安阳市,153,41,410500,安阳市,36.1034,114.352,36.1034,114.352,399.68846,黄骅港,
河南省,鹤壁市,154,41,410600,鹤壁市,35.7482,114.295,35.7482,114.295,429.42052,黄骅港,
河南省,新乡市,155,41,410700,新乡市,35.3026,113.884,35.3026,113.884,490.50426,黄骅港,
河南省,焦作市,156,41,410800,焦作市,35.239,113.238,35.239,113.238,538.54569,黄骅港,
河南省,濮阳市,157,41,410900,濮阳市,35.7682,115.041,35.7682,115.041,380.79978,黄骅港,
河南省,三门峡市,160,41,411200,三门峡市,34.7773,111.194,34.7773,111.194,717.16819,黄骅港,
陕西省,西安市,284,61,610100,西安市,34.2632,108.948,34.2632,108.948,920.42072,黄骅港,
陕西省,铜川市,285,61,610200,铜川市,34.9089,108.963,34.9089,108.963,883.3847,黄骅港,
陕西省,宝鸡市,286,61,610300,宝鸡市,34.3693,107.145,34.3693,107.145,1058.5082,黄骅港,
陕西省,咸阳市,287,61,610400,咸阳市,34.3334,108.705,34.3334,108.705,935.41216,黄骅港,
陕西省,渭南市,288,61,610500,渭南市,34.4994,109.503,34.4994,109.503,863.29937,黄骅港,
陕西省,延安市,289,61,610600,延安市,36.5965,109.491,36.5965,109.491,767.13284,黄骅港,
,,294,61,611100,西咸新区,34.3071,108.811,34.3071,108.811,928.58633,黄骅港,
甘肃省,天水市,299,62,620500,天水市,34.5785,105.725,34.5785,105.725,1165.3709,黄骅港,
甘肃省,平凉市,302,62,620800,平凉市,35.5428,106.685,35.5428,106.685,1043.6169,黄骅港,
甘肃省,庆阳市,304,62,621000,庆阳市,35.7342,107.638,35.7342,107.638,955.49456,黄骅港,
甘肃省,定西市,305,62,621100,定西市,35.5796,104.626,35.5796,104.626,1217.9656,黄骅港,
甘肃省,陇南市,306,62,621200,陇南市,33.3886,104.929,33.3886,104.929,1290.3208,黄骅港,
甘肃省,甘南藏族自治州,308,62,623000,甘南藏族自治州,34.9864,102.911,34.9864,102.911,1386.6519,黄骅港,
宁夏回族自治区,固原市,320,64,640400,固原市,36.0046,106.285,36.0046,106.285,1061.0529,黄骅港,
山东省,青岛市,133,37,370200,青岛市,36.0944,120.37,36.0944,120.37,3.730535,青岛港,
山东省,潍坊市,138,37,370700,潍坊市,36.7092,119.107,36.7092,119.107,128.76618,青岛港,
山东省,烟台市,137,37,370600,烟台市,37.5393,121.391,37.5393,121.391,1.7745194,烟台港,
